h2o,ex,peg,mdx,chi6,j2,pBT005,pCas9,8,11,14,17,19,20,0,mg,k-glu,3pga,Intensity,,,,,,,,,,,,
152.5,845,150,120,200,90,85,67.5,82.5,0,0,0,0,0,0,45,52.5,110,899,,,,,,,,,,,,
152.5,845,150,120,200,90,85,67.5,82.5,0,0,0,0,0,0,45,52.5,110,1080,,,,,,,,,,,,
152.5,845,150,120,200,90,85,67.5,82.5,0,0,0,0,0,0,45,52.5,110,1159,,,,,,,,,,,,
152.5,845,150,120,200,90,85,67.5,82.5,0,0,0,0,0,0,45,52.5,110,1180,,,,,,,,,,,,
150,845,150,120,200,90,85,67.5,0,85,0,0,0,0,0,45,52.5,110,157,,,,,,,,,,,,
150,845,150,120,200,90,85,67.5,0,85,0,0,0,0,0,45,52.5,110,184,,0,178.25,10.56823069,,0,215.75,26.42323788,,0,212.5,10.23474475
150,845,150,120,200,90,85,67.5,0,85,0,0,0,0,0,45,52.5,110,222,,8,1079.5,110.6808475,,8,1005,176.5545242,,8,964.6666667,104.3114993
150,845,150,120,200,90,85,67.5,0,85,0,0,0,0,0,45,52.5,110,278,,11,210.25,45.42232381,,11,279.75,39.66973027,,11,311.5,47.81997491
157.5,845,150,120,200,90,85,67.5,0,0,77.5,0,0,0,0,45,52.5,110,361,,14,476.5,69.46042038,,14,659,91.05767403,,14,654.75,56.03737592
157.5,845,150,120,200,90,85,67.5,0,0,77.5,0,0,0,0,45,52.5,110,485,,17,439.75,71.44009728,,17,545.75,55.92126161,,17,493,19
157.5,845,150,120,200,90,85,67.5,0,0,77.5,0,0,0,0,45,52.5,110,521,,19,180,26.10555496,,19,197.5,61.56500629,,19,151.5,14.5
157.5,845,150,120,200,90,85,67.5,0,0,77.5,0,0,0,0,45,52.5,110,539,,20,143,6.32455532,,20,154.75,23.49867018,,20,199.25,25.93621985
155,845,150,120,200,90,85,67.5,0,0,0,80,0,0,0,45,52.5,110,355,,,,,,,,,,,,
155,845,150,120,200,90,85,67.5,0,0,0,80,0,0,0,45,52.5,110,425,,,,,,,,,,,,
155,845,150,120,200,90,85,67.5,0,0,0,80,0,0,0,45,52.5,110,426,,,,,,,,,,,,
155,845,150,120,200,90,85,67.5,0,0,0,80,0,0,0,45,52.5,110,553,,,,,,,,,,,,
147.5,845,150,120,200,90,85,67.5,0,0,0,0,87.5,0,0,45,52.5,110,147,,,,,,,,,,,,
147.5,845,150,120,200,90,85,67.5,0,0,0,0,87.5,0,0,45,52.5,110,162,,,,,,,,,,,,
147.5,845,150,120,200,90,85,67.5,0,0,0,0,87.5,0,0,45,52.5,110,203,,,,,,,,,,,,
147.5,845,150,120,200,90,85,67.5,0,0,0,0,87.5,0,0,45,52.5,110,208,,,,,,,,,,,,
150,845,150,120,200,90,85,67.5,0,0,0,0,0,85,0,45,52.5,110,135,,,,,,,,,,,,
150,845,150,120,200,90,85,67.5,0,0,0,0,0,85,0,45,52.5,110,139,,,,,,,,,,,,
150,845,150,120,200,90,85,67.5,0,0,0,0,0,85,0,45,52.5,110,147,,,,,,,,,,,,
150,845,150,120,200,90,85,67.5,0,0,0,0,0,85,0,45,52.5,110,151,,,,,,,,,,,,
155,845,150,120,200,90,85,67.5,0,0,0,0,0,0,80,45,52.5,110,161,,,,,,,,,,,,
155,845,150,120,200,90,85,67.5,0,0,0,0,0,0,80,45,52.5,110,179,,,,,,,,,,,,
155,845,150,120,200,90,85,67.5,0,0,0,0,0,0,80,45,52.5,110,184,,,,,,,,,,,,
155,845,150,120,200,90,85,67.5,0,0,0,0,0,0,80,45,52.5,110,189,,,,,,,,,,,,
85,845,150,120,200,90,85,135,82.5,0,0,0,0,0,0,45,52.5,110,761,,,,,,,,,,,,
85,845,150,120,200,90,85,135,82.5,0,0,0,0,0,0,45,52.5,110,935,,,,,,,,,,,,
85,845,150,120,200,90,85,135,82.5,0,0,0,0,0,0,45,52.5,110,1088,,,,,,,,,,,,
85,845,150,120,200,90,85,135,82.5,0,0,0,0,0,0,45,52.5,110,1236,,,,,,,,,,,,
82.5,845,150,120,200,90,85,135,0,85,0,0,0,0,0,45,52.5,110,223,,,,,,,,,,,,
82.5,845,150,120,200,90,85,135,0,85,0,0,0,0,0,45,52.5,110,273,,,,,,,,,,,,
82.5,845,150,120,200,90,85,135,0,85,0,0,0,0,0,45,52.5,110,289,,,,,,,,,,,,
82.5,845,150,120,200,90,85,135,0,85,0,0,0,0,0,45,52.5,110,334,,,,,,,,,,,,
90,845,150,120,200,90,85,135,0,0,77.5,0,0,0,0,45,52.5,110,547,,,,,,,,,,,,
90,845,150,120,200,90,85,135,0,0,77.5,0,0,0,0,45,52.5,110,600,,,,,,,,,,,,
90,845,150,120,200,90,85,135,0,0,77.5,0,0,0,0,45,52.5,110,709,,,,,,,,,,,,
90,845,150,120,200,90,85,135,0,0,77.5,0,0,0,0,45,52.5,110,780,,,,,,,,,,,,
87.5,845,150,120,200,90,85,135,0,0,0,80,0,0,0,45,52.5,110,484,,,,,,,,,,,,
87.5,845,150,120,200,90,85,135,0,0,0,80,0,0,0,45,52.5,110,498,,,,,,,,,,,,
87.5,845,150,120,200,90,85,135,0,0,0,80,0,0,0,45,52.5,110,586,,,,,,,,,,,,
87.5,845,150,120,200,90,85,135,0,0,0,80,0,0,0,45,52.5,110,615,,,,,,,,,,,,
80,845,150,120,200,90,85,135,0,0,0,0,87.5,0,0,45,52.5,110,129,,,,,,,,,,,,
80,845,150,120,200,90,85,135,0,0,0,0,87.5,0,0,45,52.5,110,160,,,,,,,,,,,,
80,845,150,120,200,90,85,135,0,0,0,0,87.5,0,0,45,52.5,110,209,,,,,,,,,,,,
80,845,150,120,200,90,85,135,0,0,0,0,87.5,0,0,45,52.5,110,292,,,,,,,,,,,,
82.5,845,150,120,200,90,85,135,0,0,0,0,0,85,0,45,52.5,110,138,,,,,,,,,,,,
82.5,845,150,120,200,90,85,135,0,0,0,0,0,85,0,45,52.5,110,139,,,,,,,,,,,,
82.5,845,150,120,200,90,85,135,0,0,0,0,0,85,0,45,52.5,110,147,,,,,,,,,,,,
82.5,845,150,120,200,90,85,135,0,0,0,0,0,85,0,45,52.5,110,195,,,,,,,,,,,,
87.5,845,150,120,200,90,85,135,0,0,0,0,0,0,80,45,52.5,110,190,,,,,,,,,,,,
87.5,845,150,120,200,90,85,135,0,0,0,0,0,0,80,45,52.5,110,191,,,,,,,,,,,,
87.5,845,150,120,200,90,85,135,0,0,0,0,0,0,80,45,52.5,110,230,,,,,,,,,,,,
