h2o,ex,peg,mdx,chi6,rep,activator,dCas9,5,8,9,11,12,14,15,17,18,19,20,21,22,23,0,mg,k,energy,slope,,0,12.56081081,0.513646853
132.5,845,150,120,200,67.5,85,120,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,11.72972973,,5,15.06756757,1.597855118
132.5,845,150,120,200,67.5,85,120,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,12.08108108,,8,82.62162162,5.606658881
132.5,845,150,120,200,67.5,85,120,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,13.27027027,,9,90.41891892,5.367110974
132.5,845,150,120,200,67.5,85,120,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,14,,11,161.2905405,9.729380155
132.5,845,150,120,200,67.5,85,120,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,15.56756757,,12,141.1756757,9.086800403
132.5,845,150,120,200,67.5,85,120,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,17.43243243,,14,146.3445946,15.04873232
117.5,845,150,120,200,67.5,85,120,0,72.5,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,65.94594595,,15,146.8716216,11.76514729
117.5,845,150,120,200,67.5,85,120,0,72.5,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,72.75675676,,17,98.65540541,9.02369608
117.5,845,150,120,200,67.5,85,120,0,72.5,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,75.91891892,,18,162.1013514,3.192472829
117.5,845,150,120,200,67.5,85,120,0,72.5,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,78.2972973,,19,140.5675676,6.155550032
117.5,845,150,120,200,67.5,85,120,0,72.5,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,87.32432432,,20,142.9054054,5.370240346
117.5,845,150,120,200,67.5,85,120,0,72.5,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,88.94594595,,21,151.5608108,3.125765063
135,845,150,120,200,67.5,85,120,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,79.02702703,,22,160.6554054,5.119049308
135,845,150,120,200,67.5,85,120,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,81.56756757,,23,185.5540541,6.547419322
135,845,150,120,200,67.5,85,120,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,82.2972973,,,,
135,845,150,120,200,67.5,85,120,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,88.94594595,,,,
135,845,150,120,200,67.5,85,120,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,94.48648649,,,,
135,845,150,120,200,67.5,85,120,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,95.94594595,,0,12.08558559,0.920165645
122.5,845,150,120,200,67.5,85,120,0,0,0,67.5,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,97.83783784,,5,14.01351351,1.983542588
122.5,845,150,120,200,67.5,85,120,0,0,0,67.5,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,121.1891892,,8,78.1981982,7.99720956
122.5,845,150,120,200,67.5,85,120,0,0,0,67.5,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,147.6756757,,9,87.04504505,6.519803077
122.5,845,150,120,200,67.5,85,120,0,0,0,67.5,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,157.7567568,,11,153.2702703,18.24904413
122.5,845,150,120,200,67.5,85,120,0,0,0,67.5,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,165.7567568,,12,135.4414415,11.0127609
122.5,845,150,120,200,67.5,85,120,0,0,0,67.5,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,173.972973,,14,140.6054054,17.68967626
132.5,845,150,120,200,67.5,85,120,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,45,52.5,110,122.7837838,,15,137.5720721,16.84209177
