h2o,ex,peg,mdx,chi6,p70adeGFP,dCas9,5,7,8,10,11,12,14,16,17,18,20,21,22,23,24,25,26,27,28,29,32,0,mg,k,energy,Intensity,,,,,,,,,,,,,,,,
272.5,845,150,120,200,52.5,120,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,26954,,,,,,,,,,,,,,,,
272.5,845,150,120,200,52.5,120,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,27286,,0,32391,4811,,0,1,0.21,,0,0,0.21,,0,7.398583828,1.098903609
272.5,845,150,120,200,52.5,120,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,28205,,5,27745.5,459.5,,5,1.17,0.17,,5,0.143,0.128,,5,6.337482869,0.104956601
272.5,845,150,120,200,52.5,120,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,34520,,7,23066,2462,,7,1.4,0.26,,7,0.288,0.13,,7,5.268615806,0.562357241
250,845,150,120,200,52.5,120,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,20604,,8,15199,423,,8,2.13,0.32,,8,0.531,0.071,,8,3.471676565,0.096619461
250,845,150,120,200,52.5,120,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,25528,,10,417.5,46.5,,10,77.58,14.4,,10,0.987,0.002,,10,0.09536318,0.010621288
250,845,150,120,200,52.5,120,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,36791,,11,543.5,60.5,,11,59.6,11.06,,11,0.983,0.003,,11,0.124143444,0.013819095
250,845,150,120,200,52.5,120,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,37073,,12,466,17,,12,69.51,10.63,,12,0.986,0.002,,12,0.106441297,0.003883052
237.5,845,150,120,200,52.5,120,0,0,67.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,13603,,14,2304.5,182.5,,14,14.06,2.37,,14,0.929,0.012,,14,0.52638191,0.041685701
237.5,845,150,120,200,52.5,120,0,0,67.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,14776,,16,1155.5,117.5,,16,28.03,5.05,,16,0.964,0.006,,16,0.263933303,0.026838739
237.5,845,150,120,200,52.5,120,0,0,67.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,15622,,17,1802,379,,17,17.98,4.63,,17,0.944,0.014,,17,0.411603472,0.08656921
237.5,845,150,120,200,52.5,120,0,0,67.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,20589,,18,1366.5,144.5,,18,23.7,4.32,,18,0.958,0.008,,18,0.312128826,0.033005939
272.5,845,150,120,200,52.5,120,0,0,0,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,314,,20,2587,54,,20,12.52,1.88,,20,0.92,0.012,,20,0.590909091,0.012334399
272.5,845,150,120,200,52.5,120,0,0,0,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,371,,21,1344.5,205.5,,21,24.09,5.13,,21,0.958,0.009,,21,0.3071037,0.046939242
272.5,845,150,120,200,52.5,120,0,0,0,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,464,,22,651,14,,22,49.76,7.47,,22,0.98,0.003,,22,0.148698036,0.003197807
272.5,845,150,120,200,52.5,120,0,0,0,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,606,,23,666,129,,23,48.64,11.87,,23,0.979,0.005,,23,0.152124258,0.029465509
245,845,150,120,200,52.5,120,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,333,,24,379,8,,24,85.46,12.82,,24,0.988,0.002,,24,0.08656921,0.001827318
245,845,150,120,200,52.5,120,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,483,,25,500.5,71.5,,25,64.72,13.34,,25,0.985,0.003,,25,0.114321608,0.016331658
245,845,150,120,200,52.5,120,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,604,,26,904,99,,26,35.83,6.61,,26,0.972,0.005,,26,0.20648698,0.022613065
245,845,150,120,200,52.5,120,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,641,,27,706.5,96.5,,27,45.85,9.25,,27,0.978,0.004,,27,0.161375057,0.022042028
272.5,845,150,120,200,52.5,120,0,0,0,0,0,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,449,,28,390,6.5,,28,83.05,12.41,,28,0.988,0.002,,28,0.089081772,0.001484696
272.5,845,150,120,200,52.5,120,0,0,0,0,0,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,483,,29,518,49,,29,62.53,11.01,,29,0.984,0.003,,29,0.118318867,0.011192325
272.5,845,150,120,200,52.5,120,0,0,0,0,0,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,42932,,32,1144,86,,32,28.31,4.71,,32,0.965,0.006,,32,0.261306533,0.019643673
272.5,845,150,120,200,52.5,120,0,0,0,0,0,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,48630,,,,,,,,,,,,,,,,
242.5,845,150,120,200,52.5,120,0,0,0,0,0,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,1614,,,,,,,,,,,,,,,,
242.5,845,150,120,200,52.5,120,0,0,0,0,0,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,2122,,,,,,,,,,,,,,,,
242.5,845,150,120,200,52.5,120,0,0,0,0,0,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,2487,,,,,,,,,,,,,,,,
242.5,845,150,120,200,52.5,120,0,0,0,0,0,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,4574,,,,,,,,,,,,,,,,
275,845,150,120,200,52.5,120,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,886,,,,,,,,,,,,,,,,
275,845,150,120,200,52.5,120,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,1038,,,,,,,,,,,,,,,,
275,845,150,120,200,52.5,120,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,1273,,,,,,,,,,,,,,,,
275,845,150,120,200,52.5,120,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,1791,,,,,,,,,,,,,,,,
240,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,1044,,,,,,,,,,,,,,,,
240,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,1423,,,,,,,,,,,,,,,,
240,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,2181,,,,,,,,,,,,,,,,
240,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,2548,,,,,,,,,,,,,,,,
272.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,32.5,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,1014,,,,,,,,,,,,,,,,
272.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,32.5,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,1222,,,,,,,,,,,,,,,,
272.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,32.5,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,1511,,,,,,,,,,,,,,,,
272.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,32.5,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,1595,,,,,,,,,,,,,,,,
237.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,67.5,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,2043,,,,,,,,,,,,,,,,
237.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,67.5,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,2533,,,,,,,,,,,,,,,,
237.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,67.5,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,2641,,,,,,,,,,,,,,,,
237.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,67.5,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,3743,,,,,,,,,,,,,,,,
267.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,45,52.5,110,1015,,,,,,,,,,,,,,,,
267.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,45,52.5,110,1139,,,,,,,,,,,,,,,,
267.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,45,52.5,110,1550,,,,,,,,,,,,,,,,
267.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,45,52.5,110,1715,,,,,,,,,,,,,,,,
262.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,42.5,0,0,0,0,0,0,0,0,0,45,52.5,110,590,,,,,,,,,,,,,,,,
262.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,42.5,0,0,0,0,0,0,0,0,0,45,52.5,110,637,,,,,,,,,,,,,,,,
262.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,42.5,0,0,0,0,0,0,0,0,0,45,52.5,110,665,,,,,,,,,,,,,,,,
262.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,42.5,0,0,0,0,0,0,0,0,0,45,52.5,110,877,,,,,,,,,,,,,,,,
272.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5,0,0,0,0,0,0,0,0,45,52.5,110,528,,,,,,,,,,,,,,,,
272.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5,0,0,0,0,0,0,0,0,45,52.5,110,537,,,,,,,,,,,,,,,,
272.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5,0,0,0,0,0,0,0,0,45,52.5,110,795,,,,,,,,,,,,,,,,
272.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5,0,0,0,0,0,0,0,0,45,52.5,110,2216,,,,,,,,,,,,,,,,
267.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,45,52.5,110,368,,,,,,,,,,,,,,,,
267.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,45,52.5,110,371,,,,,,,,,,,,,,,,
267.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,45,52.5,110,387,,,,,,,,,,,,,,,,
267.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,45,52.5,110,1118,,,,,,,,,,,,,,,,
267.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,45,52.5,110,381,,,,,,,,,,,,,,,,
267.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,45,52.5,110,429,,,,,,,,,,,,,,,,
267.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,45,52.5,110,572,,,,,,,,,,,,,,,,
267.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,45,52.5,110,2343,,,,,,,,,,,,,,,,
272.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5,0,0,0,0,0,45,52.5,110,805,,,,,,,,,,,,,,,,
272.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5,0,0,0,0,0,45,52.5,110,1003,,,,,,,,,,,,,,,,
272.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5,0,0,0,0,0,45,52.5,110,4322,,,,,,,,,,,,,,,,
272.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5,0,0,0,0,0,45,52.5,110,4993,,,,,,,,,,,,,,,,
267.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,45,52.5,110,610,,,,,,,,,,,,,,,,
267.5,845,150,120,200,52.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,45,52.5,110,803,,,,,,,,,,,,,,,,
